feature,feature_type,recommended_encoding,cleaning_stage_action,notes
gender,nominal_categorical,one_hot_encode_after_split,fill_missing_as_unknown_if_needed,Fit encoder inside modelling pipeline only.
married,nominal_categorical,one_hot_encode_after_split,fill_missing_as_unknown_if_needed,Fit encoder inside modelling pipeline only.
home,nominal_categorical,one_hot_encode_after_split,fill_missing_as_unknown_if_needed,Fit encoder inside modelling pipeline only.
social_profile,nominal_categorical,one_hot_encode_after_split,fill_missing_as_unknown_if_needed,Fit encoder inside modelling pipeline only.
loan_category,nominal_categorical,one_hot_encode_after_split,fill_missing_as_unknown_if_needed,Fit encoder inside modelling pipeline only.
employment_type,nominal_categorical,one_hot_encode_after_split,fill_missing_as_unknown_if_needed,Fit encoder inside modelling pipeline only.
is_verified,nominal_categorical,one_hot_encode_after_split,fill_missing_as_unknown_if_needed,Fit encoder inside modelling pipeline only.
tier_of_employment,ordinal_categorical,ordinal_encode_after_split,standardize_unknown_or_placeholder_values,Use documented order. Do not infer order from target.
work_experience,ordinal_categorical,ordinal_encode_after_split,standardize_unknown_or_placeholder_values,Use documented order. Do not infer order from target.
industry,high_cardinality_or_governance_sensitive,exclude_from_baseline_or_group_before_encoding,retain_for_audit_monitoring,Do not direct one-hot encode in baseline model.
role,high_cardinality_or_governance_sensitive,exclude_from_baseline_or_group_before_encoding,retain_for_audit_monitoring,Do not direct one-hot encode in baseline model.
pincode,high_cardinality_or_governance_sensitive,exclude_from_baseline_or_group_before_encoding,retain_for_audit_monitoring,Do not direct one-hot encode in baseline model.
